ID,CURRENT_SPECIES_NAME,CURRENT_TAXONOMIC_NAME,Family,Class,thermal guild,a,b,CF,SGFGu,Range,Frequency,Abundance,MaxLength,Trophic Level,Trophic group,Trophic group2,Water column,Diel Activity,Habitat,Min depth ,Max depth ,Mean depth,IUCN,Introduced,ThermalMP_5_95,ThermalMP_5min_95max,Thermal_95thmax,TNConfidence,SGI,SGI conf
,Pentacta doliolum,Pentacta doliolum,Cucumariidae,Holothuroidea,temperate,,,,,10,83,1436,,,omnivore,Herbivore,benthic,,rock,,,,NA,No,17.0265,17.0565,19.301,1,,
,Pterogobius zacalles,Pterogobius zacalles,Gobiidae,Actinopterygii,temperate,,,,,10,83,2,9,3,Benthic invertivore,Benthic invertivore,benthic,Day,sand,,,,NA,No,13.499,15.8505,26.6,1,,
,Rhinogobiops nicholsii,Rhinogobiops nicholsii,Gobiidae,Actinopterygii,temperate,,,,,829,83,20,15,3.4,Benthic invertivore,Benthic invertivore,benthic,Day,sand,4,106,,NA,No,13.9655,11.238,22.136,3,18.6666231,3
,Scarus hypselopterus,Scarus hypselopterus,Scaridae,Actinopterygii,tropical,,,,,37,83,2,31,,Browsing herbivore,Herbivore,benthic,Day,coral,,,,,,,,,,,
,Scarus russelii,Scarus russelii,Labridae,Actinopterygii,tropical,,,,,872,83,2,51,2,Scraping herbivore,Herbivore,Demersal,Day,coral,,,,LC,No,28.833375,29.090375,32.31075,1,,
,Selenotoca multifasciata,Selenotoca multifasciata,Scatophagidae,Actinopterygii,temperate,,,,,10,83,37,40,2.9,Benthic invertivore,Benthic invertivore,Demersal,Day,rock,,,,NA,No,20.578,20.365,24.56,1,,
,Amblyglyphidodon indicus,Amblyglyphidodon indicus,Pomacentridae,Actinopterygii,tropical,,,,,2033,82,23,8.3,2.7,Omnivore,Herbivore,Demersal,Day,coral,2,15,,NA,No,26.63195,27.028,33.011,3,14.6965311,1
,Chaetodon guttatissimus,Chaetodon guttatissimus,Chaetodontidae,Actinopterygii,tropical,,,,,2484,82,3,12,3.1,Corallivore,Corallivore,Demersal,Day,coral,3,25,,LC,No,28.9265,29.227,33.011,3,4.7574322,3
,Chaetodon litus,Chaetodon litus,Chaetodontidae,Actinopterygii,tropical,,,,,197,82,12,15,3.3,Benthic invertivore,Benthic invertivore,Demersal,Day,coral,1,25,,LC,No,22.891,23.2705,25.975,1,10.0652358,1
,Chromis flavaxilla,Chromis flavaxilla,Pomacentridae,Actinopterygii,tropical,,,,,74,82,158,7.2,3.4,Planktivore,Planktivore,Demersal,Day,coral,0,18,,NA,No,26.424425,26.68705,30.8321,1,,
,Clinus venustris,Clinus venustris,Clinidae,Actinopterygii,temperate,,,,,245,82,2,12,3.3,Benthic invertivore,Benthic invertivore,benthic,Day,rock,,,,NA,No,18.18295,18.642,22.345,2,3.9933308,1
,Elacatinus lobeli,Elacatinus lobeli,Gobiidae,Actinopterygii,tropical,,,,,10,82,5,3.5,,Browsing herbivore,Herbivore,benthic,Day,coral,,,,,,,,,,,
,Embiotoca jacksoni,Embiotoca jacksoni,Embiotocidae,Actinopterygii,temperate,,,,,180,82,6,39,3.2,Benthic invertivore,Benthic invertivore,pelagic site attached,Day,rock,4,46,,NA,No,16.38025,17.321875,21.913,2,17.4369948,1
,Eurypodius latreillii,Eurypodius latreillii,Inachidae,Malacostraca,temperate,,,,,316,82,17,3.9,,Benthic invertivore,Benthic invertivore,benthic,,rock,,,,NA,No,6.423,6.435,11.193,1,,
,Patiria miniata,Patiria miniata,Asterinidae,Asteroidea,temperate,,,,,161,82,71,20,,omnivore,Herbivore,benthic,,rock,,,,NA,No,16.1375,17.1265,21.397,2,,
,Thalassoma lucasanum,Thalassoma lucasanum,Labridae,Actinopterygii,tropical,,,,,645,82,302,15,3.5,Planktivore,Planktivore,Demersal,Day,coral,0,64,,LC,No,26.231,25.7825,30.292,3,31.832874,3
,Chaetodon paucifasciatus,Chaetodon paucifasciatus,Chaetodontidae,Actinopterygii,tropical,,,,,293,81,3,14,3.2,Corallivore,Corallivore,Demersal,Day,coral,4,30,,LC,No,25.5498,25.9353,30.8256,2,,
,Chromis punctipinnis,Chromis punctipinnis,Pomacentridae,Actinopterygii,temperate,,,,,165,81,120,25,2.7,Planktivore,Planktivore,Demersal,Day,rock,2,46,,LC,No,16.685,17.19875,22.136,2,4.6344869,1
,Pomacentrus caeruleus,Pomacentrus caeruleus,Pomacentridae,Actinopterygii,tropical,,,,,1185,81,100,10,2.7,Omnivore,Herbivore,Demersal,Day,coral,1,20,,NA,No,28.9604,29.227,33.011,1,8.2101093,1
,Aioliops megastigma,Aioliops megastigma,Microdesmidae,Actinopterygii,tropical,,,,,57,80,165,3,3.1,Planktivore,Planktivore,Demersal,Day,sand,,,,,,,,,,,
,Aphelasterias japonica,Aphelasterias japonica,Asteriidae,Asteroidea,temperate,,,,,176,80,5,,,Benthic invertivore,Benthic invertivore,benthic,,rock,,,,NA,No,10.8355,13.338,26.6,1,,
,Arripis xylabion,Arripis xylabion,Arripidae,Actinopterygii,temperate,,,,,10,80,15,85,4.1,Higher carnivore,Higher carnivore,pelagic non-site attached,Day,water column,,,,,,21.14,21.307,24.166,1,,
,Cancer pagurus,Cancer pagurus,Cancridae,Malacostraca,temperate,,,,,118,80,3,30,,Benthic invertivore,Benthic invertivore,benthic,,rock,,,,NA,No,10.4515,10.9625,15.943,1,,
,Chaetodon semilarvatus,Chaetodon semilarvatus,Chaetodontidae,Actinopterygii,tropical,,,,,68,80,2,23,3.5,Benthic invertivore,Benthic invertivore,Demersal,Day,coral,3,20,,LC,No,26.0268,26.4627,30.786,2,,
,Clinus superciliosus,Clinus superciliosus,Clinidae,Actinopterygii,temperate,,,,,238,80,5,30,3.4,Benthic invertivore,Benthic invertivore,benthic,Day,rock,,,,NA,No,18.126,18.5785,22.345,1,7.0460104,1
,Gobiusculus flavescens,Gobiusculus flavescens,Gobiidae,Actinopterygii,temperate,,,,,786,80,1274,6,3.2,Benthic invertivore,Benthic invertivore,benthic,Day,sand,,,,NA,No,8.673,9.374875,19.86475,3,,
,Haliotis spadicea,Haliotis spadicea,Haliotidae,Gastropoda,temperate,,,,,247,80,2,,,Scraping herbivore,Herbivore,benthic,,rock,,,,NA,No,18.17745,18.642,22.345,1,,
,Henricia ornata,Henricia ornata,Echinasteridae,Asteroidea,temperate,,,,,210,80,4,,,Benthic invertivore,Benthic invertivore,benthic,,rock,,,,NA,No,17.961075,18.206125,21.60025,1,,
,Kelletia kelletii,Kelletia kelletii,Buccinidae,Gastropoda,temperate,,,,,130,80,6,17.5,,Benthic invertivore,Benthic invertivore,benthic,,rock,,,,NA,No,16.685,17.496,22.136,2,,
,Libinia emarginata,Libinia emarginata,Epialtidae,Malacostraca,temperate,,,,,26,80,2,,,Benthic invertivore,Benthic invertivore,benthic,,rock,,,,,,10.0961,10.3743,19.1486,1,,
,Navanax inermis,Navanax inermis,Aglajidae,Gastropoda,temperate,,,,,10,80,2,22.5,,Benthic invertivore,Benthic invertivore,benthic,,rock,,,,NA,No,15.962,16.5535,19.586,1,,
,Pagurus bernhardus,Pagurus bernhardus,Paguridae,Malacostraca,temperate,,,,,1183,80,42,10,,omnivore,Herbivore,benthic,,rock,,,,NA,No,9.0045,7.3905,15.457,2,,
,Patagonotothen squamiceps,Patagonotothen squamiceps,Nototheniidae,Actinopterygii,temperate,,,,,10,80,3,18,3.6,Benthic invertivore,Benthic invertivore,benthic,Night,rock,2,4,,NA,No,7.4975,7.712,11.193,1,,
,Pisaster ochraceus,Pisaster ochraceus,Asteriidae,Asteroidea,temperate,,,,,153,80,5,25,,Benthic invertivore,Benthic invertivore,benthic,,rock,,,,NA,No,14.9135,15.9705,19.586,1,,
,Pomacentrus callainus,Pomacentrus callainus,Pomacentridae,Actinopterygii,tropical,,,,,81,80,93,9,2.7,Omnivore,Herbivore,Demersal,Day,coral,4,3,,LC,No,26.5285,26.389,29.021,1,7.384875,1
,Poroderma africanum,Poroderma africanum,Scyliorhinidae,Elasmobranchii,temperate,,,,,214,80,1,101,3.6,Benthic invertivore,Benthic invertivore,benthic,Night,rock,4,100,,NT,No,18.1233,19.2812,23.725,1,,
,Scarus zelindae,Scarus zelindae,Labridae,Actinopterygii,tropical,,,,,24,80,7,33.2,2,Scraping herbivore,Herbivore,Demersal,Day,coral,,,,DD,No,26.2405,26.3445,28.079,1,13.5315667,1
,Solaster stimpsoni,Solaster stimpsoni,Solasteridae,Asteroidea,temperate,,,,,30,80,1,51,,Benthic invertivore,Benthic invertivore,benthic,,rock,,,,NA,No,10.84525,9.7215,17.487,1,,
,Trimma anaima,Trimma anaima,Gobiidae,Actinopterygii,tropical,,,,,82,80,3,3,,Browsing herbivore,Herbivore,benthic,Day,coral,,,,,,,,,,,
,Coryphopterus lipernes,Coryphopterus lipernes,Gobiidae,Actinopterygii,tropical,,,,,10,79,7,3,2.9,Browsing herbivore,Herbivore,benthic,Day,sand,0,13,,NA,No,27.7395,27.974,29.684,1,9.5402587,1
,Evechinus chloroticus,Evechinus chloroticus,Echinometridae,Echinoidea,temperate,,,,,195,79,88,17,,Scraping herbivore,Herbivore,benthic,,rock,,,,NA,No,17.442,17.726,21.512,2,,
,Notolabrus parilus,Notolabrus parilus,Labridae,Actinopterygii,temperate,,,,,946,79,5,49,3.5,Benthic invertivore,Benthic invertivore,Demersal,Day,rock,2,20,,LC,No,19.2865,18.4175,23.502,3,31.1839817,3
,Echinus esculentus,Echinus esculentus,Echinidae,Echinoidea,temperate,,,,,383,78,297,15,,Scraping herbivore,Herbivore,benthic,,rock,,,,LR/nt,No,8.9475,7.414,15.943,3,,
,Ecsenius namiyei,Ecsenius namiyei,Blenniidae,Actinopterygii,tropical,,,,,925,78,4,11,2,Browsing herbivore,Herbivore,benthic,Day,coral,1,30,,NA,No,29.842,29.7695,30.793,1,13.9453833,3
,Paracentrotus lividus,Paracentrotus lividus,Parechinidae,Echinoidea,temperate,,,,,1136,78,48,6,,Scraping herbivore,Herbivore,benthic,,rock,,,,NA,No,19.2935,19.12665,26.6803,3,,
,Gargamella immaculata,Gargamella immaculata,Discodorididae,Gastropoda,temperate,,,,,549,77,2,,,Benthic invertivore,Benthic invertivore,benthic,,rock,,,,NA,No,10.866,11.631,19.031,3,,
,Holothuria tubulosa,Holothuria tubulosa,Holothuriidae,Holothuroidea,temperate,,,,,467,77,4,30,,omnivore,Herbivore,benthic,,rock,,,,NA,No,18.243,19.2115,26.85,3,,
,Hypoplectrus chlorurus,Hypoplectrus chlorurus,Serranidae,Actinopterygii,tropical,,,,,10,77,1,12.7,3.8,Benthic invertivore,Benthic invertivore,Demersal,Day,coral,3,23,,NA,No,27.7395,27.974,29.684,1,,
,Sebastes atrovirens,Sebastes atrovirens,Sebastidae,Actinopterygii,temperate,,,,,177,77,3,42,3.4,Benthic invertivore,Benthic invertivore,Demersal,Day,rock,4,46,,NA,No,16.2173,17.1019,22.136,2,16.5300195,1
,Sebastes serriceps,Sebastes serriceps,Sebastidae,Actinopterygii,temperate,,,,,105,77,2,41,3.6,Higher carnivore,Higher carnivore,Demersal,Day,rock,5,90,,NA,No,16.685,17.496,22.136,1,,
,Chromis randalli,Chromis randalli,Pomacentridae,Actinopterygii,tropical,,,,,205,76,165,13,3,Planktivore,Planktivore,Demersal,Day,coral,5,30,,NA,No,22.891,23.2705,25.975,1,9.3126948,1
,Fissurella oriens,Fissurella oriens,Fissurellidae,Gastropoda,temperate,,,,,703,76,18,7,,Scraping herbivore,Herbivore,benthic,,rock,,,,NA,No,9.3835,9.982,18.287,3,,
,Heniochus intermedius,Heniochus intermedius,Chaetodontidae,Actinopterygii,tropical,,,,,275,76,2,18,3.5,Benthic invertivore,Benthic invertivore,Demersal,Day,coral,3,50,,LC,No,25.5319,26.124,30.78,3,,
,Holothuria sanctori,Holothuria sanctori,Holothuriidae,Holothuroidea,temperate,,,,,884,76,12,,,omnivore,Herbivore,benthic,,rock,,,,NA,No,21.483,21.369225,24.45045,2,,
,Hypsypops rubicundus,Hypsypops rubicundus,Pomacentridae,Actinopterygii,temperate,,,,,127,76,7,30,3.2,Planktivore,Planktivore,Demersal,Day,rock,0,30,,LC,No,16.9685,16.778,22.136,3,2.4483093,1
,Itycirrhitus wilhelmi,Itycirrhitus wilhelmi,Cirrhitidae,Actinopterygii,tropical,,,,,205,76,5,10.4,3.6,Benthic invertivore,Benthic invertivore,benthic,Day,coral,1,55,,NA,No,22.891,23.2705,25.975,1,4.9385503,1
,Megathura crenulata,Megathura crenulata,Fissurellidae,Gastropoda,temperate,,,,,162,76,9,12.5,,Scraping herbivore,Herbivore,benthic,,rock,,,,NA,No,16.685,17.496,22.136,2,,
,Notolabrus gymnogenis,Notolabrus gymnogenis,Labridae,Actinopterygii,temperate,,,,,287,76,5,49,3.4,Benthic invertivore,Benthic invertivore,Demersal,Day,rock,4,40,,LC,No,19.4165,19.622,25.14,3,40.4704204,3
,Acanthistius sebastoides,Acanthistius sebastoides,Serranidae,Actinopterygii,temperate,,,,,23,75,1,35,4,Higher carnivore,Higher carnivore,Demersal,Day,rock,1,20,,NA,No,19.212,19.94,24.07,1,,
,Anisotremus davidsonii,Anisotremus davidsonii,Haemulidae,Actinopterygii,temperate,,,,,10,75,1,,,Higher carnivore,Higher carnivore,benthic,Day,rock,,,,,,22.21,22.6405,29.254,1,,
,Anthenea tuberculosa,Anthenea tuberculosa,Oreasteridae,Asteroidea,tropical,,,,,10,75,1,20,,Benthic invertivore,Benthic invertivore,benthic,,coral,,,,NA,No,29.46895,28.7797,32.1604,1,,
,Arbacia lixula,Arbacia lixula,Arbaciidae,Echinoidea,temperate,,,,,1176,75,23,10,,Scraping herbivore,Herbivore,benthic,,rock,,,,NA,No,19.2935,19.007,26.441,3,,
,Asterias forbesi,Asterias forbesi,Asteriidae,Asteroidea,temperate,,,,,10,75,8,,,Benthic invertivore,Benthic invertivore,benthic,,rock,,,,NA,No,10.2265,10.4805,19.361,1,,
,Bodianus diplotaenia,Bodianus diplotaenia,Labridae,Actinopterygii,tropical,,,,,957,75,17,76,3.4,Benthic invertivore,Benthic invertivore,Demersal,Day,coral,5,76,,LC,No,25.9955,25.487,30.21,3,30.9848587,3
,Calliclinus geniguttatus,Calliclinus geniguttatus,Labrisomidae,Actinopterygii,temperate,,,,,12,75,1,12.2,3.4,Benthic invertivore,Benthic invertivore,benthic,Day,rock,,,,NA,No,13.425625,13.530625,18.86,1,,
,Canthigaster figueiredoi,Canthigaster figueiredoi,Tetraodontidae,Actinopterygii,tropical,,,,,27,75,2,12,3.1,Omnivore,Herbivore,Demersal,Day,coral,1,35,,NA,No,26.2565,26.3615,28.113,2,6.2324681,1
,Cephalopholis hemistiktos,Cephalopholis hemistiktos,Serranidae,Actinopterygii,tropical,,,,,237,75,2,35,4.1,Higher carnivore,Higher carnivore,Demersal,Day,coral,4,55,,NT,No,25.55,26.109225,30.8139,2,,
,Cheilodactylus pixi,Cheilodactylus pixi,Cheilodactylidae,Actinopterygii,temperate,,,,,226,75,3,18,3.2,Benthic invertivore,Benthic invertivore,Demersal,Day,rock,4,97,,NA,No,18.5604,19.6406,24.07,1,,
,Chironemus microlepis,Chironemus microlepis,Chironemidae,Actinopterygii,temperate,,,,,44,75,4,40,3.45555555555556,Browsing herbivore,Herbivore,benthic,Day,rock,,,,,,20.197,20.2605,23.45,1,,
,Chromodoris quadricolor,Chromodoris quadricolor,Chromodorididae,Gastropoda,tropical,,,,,10,75,1,,,Benthic invertivore,Benthic invertivore,benthic,,coral,,,,,,24.27485,24.847,28.649,1,,
,Cirrhilabrus walindi,Cirrhilabrus walindi,Labridae,Actinopterygii,tropical,,,,,10,75,4,7,3.3,Benthic invertivore,Benthic invertivore,Demersal,Day,coral,20,65,,LC,No,30.8665,30.742,31.794,1,,
,Coris venusta,Coris venusta,Labridae,Actinopterygii,tropical,,,,,10,75,3,19.3,3.3,Benthic invertivore,Benthic invertivore,Demersal,Day,coral,2,10,,LC,No,25.86,25.9475,27.207,1,,
,Diaulula hispida,Diaulula hispida,Discodorididae,Gastropoda,temperate,,,,,357,75,1,,,Benthic invertivore,Benthic invertivore,benthic,,rock,,,,NA,No,7.34,7.781,11.193,1,,
,Erosaria miliaris,Erosaria miliaris,Cypraeidae,Gastropoda,tropical,,,,,10,75,2,5,,Benthic invertivore,Benthic invertivore,benthic,,coral,,,,,,,,,,,
,Felimare villafranca,Felimare villafranca,Chromodorididae,Gastropoda,temperate,,,,,64,75,3,,,Benthic invertivore,Benthic invertivore,benthic,,rock,,,,,,,,,,,
,Girella punctata,Girella punctata,Kyphosidae,Actinopterygii,temperate,,,,,10,75,4,50,2.9,Browsing herbivore,Herbivore,Demersal,Day,rock,,,,NA,No,22.4682,23.2895,31.136,1,,
,Helcogramma maldivensis,Helcogramma maldivensis,Tripterygiidae,Actinopterygii,tropical,,,,,44,75,8,2.8,3,Benthic invertivore,Benthic invertivore,benthic,Day,coral,0,10,,NA,No,29.3929,29.5453,30.843,1,,
,Hyas coarctatus,Hyas coarctatus,Oregoniidae,Malacostraca,temperate,,,,,1251,75,1,6.1,,Benthic invertivore,Benthic invertivore,benthic,,rock,,,,NA,No,7.68545,6.9474,14.922,1,,
,Lytechinus pictus,Lytechinus pictus,Toxopneustidae,Echinoidea,temperate,,,,,10,75,11,,,Scraping herbivore,Herbivore,benthic,,rock,,,,NA,No,15.872,16.443,19.586,1,,
,Megastraea undosa,Megastraea undosa,Turbinidae,Gastropoda,temperate,,,,,133,75,6,5.5,,Scraping herbivore,Herbivore,benthic,,rock,,,,NA,No,16.3555,17.5405,22.136,2,,
,Neopomacentrus miryae,Neopomacentrus miryae,Pomacentridae,Actinopterygii,tropical,,,,,10,75,13,11,,Planktivore,Planktivore,benthic,Day,coral,,,,,,24.263,24.847,28.649,1,,
,Neptunea arthritica,Neptunea arthritica,Buccinidae,Gastropoda,temperate,,,,,10,75,6,,,Benthic invertivore,Benthic invertivore,benthic,,rock,,,,NA,No,7.984,8.7335,17.391,1,,
,Odontaster meridionalis,Odontaster meridionalis,Odontasteridae,Asteroidea,polar,,,,,10,75,3,,,Benthic invertivore,Benthic invertivore,benthic,,rock,,,,,,,,,,,
,Pagurus sp. [pectinatus cf],Pagurus spp.,Paguridae,Malacostraca,temperate,,,,,10,75,2,,,omnivore,Herbivore,benthic,,rock,,,,NA,No,7.984,8.7335,17.391,0,,
,Paralomis granulosa,Paralomis granulosa,Lithodidae,Malacostraca,temperate,,,,,347,75,25,11.5,,Benthic invertivore,Benthic invertivore,benthic,,rock,,,,NA,No,7.388,7.624,11.017,1,,
,Peltarion spinulosum,Peltarion spinulosum,Trichopeltariidae,Malacostraca,temperate,,,,,33,75,2,,,Benthic invertivore,Benthic invertivore,benthic,,rock,,,,NA,No,7.3369,7.74735,11.0686,1,,
,Pisidia longicornis,Pisidia longicornis,Porcellanidae,Malacostraca,temperate,,,,,10,75,2,,,Planktivore,Planktivore,benthic,,rock,,,,NA,No,10.735,11.4175,15.943,1,,
,Pomacentrus baenschi,Pomacentrus baenschi,Pomacentridae,Actinopterygii,tropical,,,,,10,75,5,10,2.6,Browsing herbivore,Herbivore,Demersal,Day,coral,1,20,,NA,No,28.2095,27.988,30.052,1,,
,Pseudopleuronectes americanus,Pseudopleuronectes americanus,Pleuronectidae,Actinopterygii,temperate,,,,,28,75,1,,,Benthic invertivore,Benthic invertivore,benthic,Night,sand,,,,,,11.5909,13.633825,27.08805,3,,
,Pterocaesio randalli,Pterocaesio randalli,Caesionidae,Actinopterygii,tropical,,,,,445,75,92,25,3.4,Planktivore,Planktivore,pelagic site attached,Day,coral,5,30,,NA,No,29.3235,29.15545,30.5285,1,,
,Roboastra tigris,Roboastra tigris,Polyceridae,Gastropoda,tropical,,,,,10,75,2,,,Benthic invertivore,Benthic invertivore,benthic,,coral,,,,,,21.957025,22.656425,29.487,1,,
,Siganus rivulatus,Siganus rivulatus,Siganidae,Actinopterygii,tropical,,,,,146,75,11,27,,Browsing herbivore,Herbivore,benthic,Day,coral,,,,,,23.353,22.8755,29.073,1,,
,Sphoeroides spengleri,Sphoeroides spengleri,Tetraodontidae,Actinopterygii,tropical,,,,,180,75,2,30,3.2,Benthic invertivore,Benthic invertivore,Demersal,Day,sand,2,70,,NA,No,25.992475,23.482425,30.904,3,,
,Spondylus spinosus,Spondylus spinosus,Spondylidae,Bivalvia,temperate,,,,,144,75,2,,,Planktivore,Planktivore,benthic,,rock,,,,,,22.89555,22.924,29.17,1,,
,Stegastes acapulcoensis,Stegastes acapulcoensis,Pomacentridae,Actinopterygii,tropical,,,,,449,75,44,17,2,Algal farmer,Herbivore,Demersal,Day,coral,2,16,,LC,No,27.0095,26.874,30.354,3,17.6278937,3
,Urobatis tumbesensis,Urobatis tumbesensis,Urolophidae,Elasmobranchii,tropical,,,,,17,75,1,115,3.3,Benthic invertivore,Benthic invertivore,benthic,Night,sand,,,,DD,No,24.59815,25.0823,26.9515,1,,
,Zygochlamys patagonica,Zygochlamys patagonica,Pectinidae,Bivalvia,temperate,,,,,31,75,11,7.8,,Planktivore,Planktivore,benthic,,rock,,,,NA,No,6.3295,5.813,9.949,1,,
,Acanthemblemaria atrata,Acanthemblemaria atrata,Chaenopsidae,Actinopterygii,tropical,,,,,126,74,90,5,3.3,Benthic invertivore,Benthic invertivore,benthic,Day,rock,,,,VU,No,27.9735,28.233,29.75,1,4.7281087,3
,Astralium tentoriformis,Astralium tentoriformis,Turbinidae,Gastropoda,temperate,,,,,276,74,38,38,,Scraping herbivore,Herbivore,benthic,,rock,,,,NA,No,18.8225,19.029,25.081,3,,
,Johnrandallia nigrirostris,Johnrandallia nigrirostris,Chaetodontidae,Actinopterygii,tropical,,,,,649,73,6,20,3,Benthic invertivore,Benthic invertivore,Demersal,Day,coral,6,40,,LC,No,26.309,25.7825,30.292,3,25.397166,3
,Meiacanthus smithi,Meiacanthus smithi,Blenniidae,Actinopterygii,tropical,,,,,797,73,3,8.5,3.4,Benthic invertivore,Benthic invertivore,benthic,Day,coral,4,20,,NA,No,29.6475,29.778,30.95,1,7.6527988,3
,Mesocentrotus franciscanus,Mesocentrotus franciscanus,Strongylocentrotidae,Echinoidea,temperate,,,,,712,73,166,,,Scraping herbivore,Herbivore,benthic,,rock,,,,NA,No,14.82,14.47,22.136,3,,
,Notolabrus celidotus,Notolabrus celidotus,Labridae,Actinopterygii,temperate,,,,,181,73,3,23.9,3.3,Benthic invertivore,Benthic invertivore,Demersal,Day,rock,22,145,,LC,No,16.497,16.7845,21.573,2,24.0628095,3
,Patagonotothen cornucola,Patagonotothen cornucola,Nototheniidae,Actinopterygii,temperate,,,,,383,73,4,11,3.4,Benthic invertivore,Benthic invertivore,benthic,Night,rock,,,,LC,No,6.623,6.784,11.193,1,,
,Plagiotremus azaleus,Plagiotremus azaleus,Blenniidae,Actinopterygii,tropical,,,,,693,73,10,10,4.4,Cleaner,Benthic invertivore,benthic,Day,coral,2,23,,LC,No,26.0644,25.5325,30.292,3,21.1447196,3
,Sebastes serranoides,Sebastes serranoides,Sebastidae,Actinopterygii,temperate,,,,,134,73,9,61,3.9,Higher carnivore,Higher carnivore,Demersal,Day,rock,0,146,,NA,No,15.82225,16.989375,21.4985,2,2.0918103,1
,Sphoeroides marmoratus,Sphoeroides marmoratus,Tetraodontidae,Actinopterygii,temperate,,,,,80,73,3,20,3.2,Browsing herbivore,Herbivore,Demersal,Day,sand,4,100,,NA,No,21.59,21.781,24.613,2,5.6856984,1
,Diadema mexicanum,Diadema mexicanum,Diadematidae,Echinoidea,tropical,,,,,574,72,47,,,Scraping herbivore,Herbivore,benthic,,coral,,,,NA,No,26.874775,26.719,30.245,3,,
,Allostichaster capensis,Allostichaster capensis,Stichasteridae,Asteroidea,temperate,,,,,324,71,8,,,Benthic invertivore,Benthic invertivore,benthic,,rock,,,,NA,No,14.237,14.7131,19.2092,1,,
,Anasterias antarctica,Anasterias antarctica,Asteriidae,Asteroidea,temperate,,,,,719,71,8,,,Benthic invertivore,Benthic invertivore,benthic,,rock,,,,NA,No,10.899,11.7,19.031,3,,
,Apostichopus parvimensis,Apostichopus parvimensis,Stichopodidae,Holothuroidea,temperate,,,,,10,71,5,,,Omnivore,Herbivore,benthic,,rock,,,,,,17.937,18.477,22.136,1,,
,Coris debueni,Coris debueni,Labridae,Actinopterygii,tropical,,,,,178,71,8,22.5,3.4,Benthic invertivore,Benthic invertivore,Demersal,Day,coral,1,60,,LC,No,22.891,23.2705,25.975,1,11.1783694,1
,Crassadoma gigantea,Crassadoma gigantea,Pectinidae,Bivalvia,temperate,,,,,126,71,3,25,,Planktivore,Planktivore,benthic,,rock,,,,NA,No,16.9685,17.718,22.136,2,,
,Echinopsolus charcoti,Echinopsolus charcoti,Cucumariidae,Holothuroidea,polar,,,,,10,71,81,,,Omnivore,Herbivore,benthic,,rock,,,,,,,,,,,
,Gerres oblongus,Gerres oblongus,Gerreidae,Actinopterygii,tropical,,,,,10,71,4,32,,Browsing herbivore,Herbivore,benthic,Day,sand,,,,,,,,,,,
,Goniistius zonatus,Goniistius zonatus,Cheilodactylidae,Actinopterygii,temperate,,,,,228,71,3,45,3.2,Benthic invertivore,Benthic invertivore,Demersal,Day,rock,,,,NA,No,21.69125,23.219625,31.136,1,,
,Holacanthus passer,Holacanthus passer,Pomacanthidae,Actinopterygii,tropical,,,,,838,71,9,35.6,2.6,Omnivore,Herbivore,Demersal,Day,coral,4,30,,LC,No,25.9805,25.5325,30.292,3,30.784881,3
,Paralabrax nebulifer,Paralabrax nebulifer,Serranidae,Actinopterygii,temperate,,,,,10,71,5,67,,Higher carnivore,Higher carnivore,benthic,Day,rock,,,,,,17.320575,17.820925,22.136,1,,
,Pecten maximus,Pecten maximus,Pectinidae,Bivalvia,temperate,,,,,94,71,1,6,,Planktivore,Planktivore,benthic,,sand,,,,NA,No,9.439,7.853,15.943,1,,
,Prionurus scalprum,Prionurus scalprum,Acanthuridae,Actinopterygii,tropical,,,,,210,71,9,50,2,Browsing herbivore,Herbivore,Demersal,Day,rock,,,,DD,No,23.09895,23.2895,31.136,1,,
,Prolatilus jugularis,Prolatilus jugularis,Pinguipedidae,Actinopterygii,temperate,,,,,10,71,4,40,3.7,Benthic invertivore,Benthic invertivore,Demersal,Day,rock,,,,NA,No,13.382,13.491,18.86,1,,
,Elacatinus oceanops,Elacatinus oceanops,Gobiidae,Actinopterygii,tropical,,,,,528,70,3,5,3.5,Cleaner,Benthic invertivore,benthic,Day,coral,1,45,,NA,No,27.443,26.58,31.063,2,4.9214861,1
,Gobius xanthocephalus,Gobius xanthocephalus,Gobiidae,Actinopterygii,temperate,,,,,10,70,2,10,3.1,Omnivore,Herbivore,benthic,Day,sand,,,,LC,No,16.8725,17.346,23.119,1,,
,Prognathodes falcifer,Prognathodes falcifer,Chaetodontidae,Actinopterygii,temperate,,,,,11,70,3,15,3.3,Benthic invertivore,Benthic invertivore,Demersal,Day,coral,10,150,,LC,No,21.697,22.567,29.564,1,,
,Ruanoho whero,Ruanoho whero,Tripterygiidae,Actinopterygii,temperate,,,,,120,70,3,9,3.3,Benthic invertivore,Benthic invertivore,benthic,Day,rock,,,,,,17.6845,17.726,21.512,2,17.8198881,3
,Strongylocentrotus purpuratus,Strongylocentrotus purpuratus,Strongylocentrotidae,Echinoidea,temperate,,,,,721,70,811,8.5,,Scraping herbivore,Herbivore,benthic,,rock,,,,NA,No,14.68415,14.24055,21.67,3,,
,Apogon norfolcensis,Apogon norfolcensis,Apogonidae,Actinopterygii,temperate,,,,,362,69,36,15,3.5,Benthic invertivore,Benthic invertivore,pelagic site attached,Night,coral,,,,NA,No,21.872,21.9185,25.138,2,,
