temp,date,time,site,latitude,longitude
17.75,2023-03-04,,Fortescue,-43.1299795663956,147.960171571816
17.76,2023-03-05,,Fortescue,-43.1299795663956,147.960171571816
18.01,2023-03-06,,Fortescue,-43.1299795663956,147.960171571816
17.84,2023-03-07,,Fortescue,-43.1299795663956,147.960171571816
17.45,2023-03-08,,Fortescue,-43.1299795663956,147.960171571816
17.38,2023-03-09,,Fortescue,-43.1299795663956,147.960171571816
17.42,2023-03-10,,Fortescue,-43.1299795663956,147.960171571816
17.43,2023-03-11,,Fortescue,-43.1299795663956,147.960171571816
17.19,2023-03-12,,Fortescue,-43.1299795663956,147.960171571816
17.13,2023-03-13,,Fortescue,-43.1299795663956,147.960171571816
17.37,2023-03-14,,Fortescue,-43.1299795663956,147.960171571816
17.33,2023-03-15,,Fortescue,-43.1299795663956,147.960171571816
17.51,2023-03-16,,Fortescue,-43.1299795663956,147.960171571816
17.47,2023-03-17,,Fortescue,-43.1299795663956,147.960171571816
17.19,2023-03-18,,Fortescue,-43.1299795663956,147.960171571816
17.3,2023-03-19,,Fortescue,-43.1299795663956,147.960171571816
17.08,2023-03-20,,Fortescue,-43.1299795663956,147.960171571816
17.01,2023-03-21,,Fortescue,-43.1299795663956,147.960171571816
17.08,2023-03-22,,Fortescue,-43.1299795663956,147.960171571816
17.25,2023-03-23,,Fortescue,-43.1299795663956,147.960171571816
17.45,2023-03-24,,Fortescue,-43.1299795663956,147.960171571816
17.3,2023-03-25,,Fortescue,-43.1299795663956,147.960171571816
17.35,2023-03-26,,Fortescue,-43.1299795663956,147.960171571816
17.22,2023-03-27,,Fortescue,-43.1299795663956,147.960171571816
17.35,2023-03-28,,Fortescue,-43.1299795663956,147.960171571816
17.31,2023-03-29,,Fortescue,-43.1299795663956,147.960171571816
17.25,2023-03-30,,Fortescue,-43.1299795663956,147.960171571816
17.05,2023-03-31,,Fortescue,-43.1299795663956,147.960171571816
17.07,2023-04-01,,Fortescue,-43.1299795663956,147.960171571816
17.02,2023-04-02,,Fortescue,-43.1299795663956,147.960171571816
16.93,2023-04-03,,Fortescue,-43.1299795663956,147.960171571816
17.08,2023-04-04,,Fortescue,-43.1299795663956,147.960171571816
16.89,2023-04-05,,Fortescue,-43.1299795663956,147.960171571816
16.94,2023-04-06,,Fortescue,-43.1299795663956,147.960171571816
17.04,2023-04-07,,Fortescue,-43.1299795663956,147.960171571816
16.83,2023-04-08,,Fortescue,-43.1299795663956,147.960171571816
16.6,2023-04-09,,Fortescue,-43.1299795663956,147.960171571816
16.56,2023-04-10,,Fortescue,-43.1299795663956,147.960171571816
16.41,2023-04-11,,Fortescue,-43.1299795663956,147.960171571816
16.61,2023-04-12,,Fortescue,-43.1299795663956,147.960171571816
16.44,2023-04-13,,Fortescue,-43.1299795663956,147.960171571816
16.72,2023-04-14,,Fortescue,-43.1299795663956,147.960171571816
16.54,2023-04-15,,Fortescue,-43.1299795663956,147.960171571816
16.3,2023-04-16,,Fortescue,-43.1299795663956,147.960171571816
16.39,2023-04-17,,Fortescue,-43.1299795663956,147.960171571816
16.4,2023-04-18,,Fortescue,-43.1299795663956,147.960171571816
16.28,2023-04-19,,Fortescue,-43.1299795663956,147.960171571816
16.4,2023-04-20,,Fortescue,-43.1299795663956,147.960171571816
16.42,2023-04-21,,Fortescue,-43.1299795663956,147.960171571816
16.25,2023-04-22,,Fortescue,-43.1299795663956,147.960171571816
16.19,2023-04-23,,Fortescue,-43.1299795663956,147.960171571816
16.09,2023-04-24,,Fortescue,-43.1299795663956,147.960171571816
16.02,2023-04-25,,Fortescue,-43.1299795663956,147.960171571816
15.73,2023-04-26,,Fortescue,-43.1299795663956,147.960171571816
15.97,2023-04-27,,Fortescue,-43.1299795663956,147.960171571816
15.73,2023-04-28,,Fortescue,-43.1299795663956,147.960171571816
15.62,2023-04-29,,Fortescue,-43.1299795663956,147.960171571816
15.59,2023-04-30,,Fortescue,-43.1299795663956,147.960171571816
15.47,2023-05-01,,Fortescue,-43.1299795663956,147.960171571816
15.31,2023-05-02,,Fortescue,-43.1299795663956,147.960171571816
15.34,2023-05-03,,Fortescue,-43.1299795663956,147.960171571816
15.4,2023-05-04,,Fortescue,-43.1299795663956,147.960171571816
15.08,2023-05-05,,Fortescue,-43.1299795663956,147.960171571816
15.07,2023-05-06,,Fortescue,-43.1299795663956,147.960171571816
